nc Variable	Variable	Units	Description
var509	Cu_65_63_SPT_DELTA_PUMP	per 10^3	Atom ratio of total particulate Cu isotopes expressed in conventional DELTA notation determined by in situ filtration (pump) collected on a main filter (small particles) referenced to {NIST976}
var510	Cu_65_63_SPL_DELTA_PUMP	per 10^3	Atom ratio of labile particulate Cu isotopes expressed in conventional DELTA notation determined by in situ filtration (pump) collected on a main filter (small particles) referenced to {NIST976}
var511	Allo_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Alloxanthin measured using HPLC method
var512	Anth_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Antheraxanthin measured using HPLC method
var513	But fuco_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of 19' Butanoyloxyfucoxanthin measured using HPLC method
var514	Alpha Car_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of alpha-Carotene measured using HPLC method
var515	Beta Car_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of beta-Carotene measured using HPLC method
var516	Diadino_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Diadinoxanthin measured using HPLC method
var517	Diato_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Diatoxanthin measured using HPLC method
var518	Fuco_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Fucoxanthin measured using HPLC method
var519	Hex fuco_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of 19' hexanoyloxyfucoxanthin measured using HPLC method
var520	Lut_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of lutein measured using HPLC method
var521	Neo_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Neoxanthin measured using HPLC method
var522	Perid_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Peridinin measured using HPLC method
var523	Pras_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Prasinoxanthin measured using HPLC method
var524	Viola_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Violaxanthin measured using HPLC method
var525	Zea_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Zeaxanthin measured using HPLC method
var526	Gyrox_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of gyroxanthin-diester measured using HPLC method
var527	Allo_HPLC_TP_CONC_FISH	ng/liter	concentration of Alloxanthin measured using HPLC method
var528	But fuco_HPLC_TP_CONC_FISH	ng/liter	concentration of 19' Butanoyloxyfucoxanthin measured using HPLC method
var529	Beta Car_HPLC_TP_CONC_FISH	ng/liter	concentration of beta-Carotene measured using HPLC method
var530	Diadino_HPLC_TP_CONC_FISH	ng/liter	concentration of Diadinoxanthin measured using HPLC method
var531	Fuco_HPLC_TP_CONC_FISH	ng/liter	concentration of Fucoxanthin measured using HPLC method
var532	Hex fuco_HPLC_TP_CONC_FISH	ng/liter	concentration of 19' hexanoyloxyfucoxanthin measured using HPLC method
var533	Lut_HPLC_TP_CONC_FISH	ng/liter	concentration of lutein measured using HPLC method
var534	Perid_HPLC_TP_CONC_FISH	ng/liter	concentration of Peridinin measured using HPLC method
var535	Viola_HPLC_TP_CONC_FISH	ng/liter	concentration of Violaxanthin measured using HPLC method
var536	Zea_HPLC_TP_CONC_FISH	ng/liter	concentration of Zeaxanthin measured using HPLC method
var537	Chl a_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Chlorophyll a measured using HPLC method
var538	Chl b_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Chlorophyll b measured using HPLC method
var539	Chl c3_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of Chlorophyll c3 measured using HPLC method
var540	Chl c1-chl c2_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of chlorophyll c1 + chlorophyll c2 measured using HPLC method
var541	Chl c TOT_HPLC_TP_CONC_BOTTLE	ng/liter	sum of the concentrations of chl c1 + chl c2 + chl c3 when reported together
var542	Chl a allom_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of chlorophyll a allomer measured using HPLC method
var543	Chl a epimer_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of chlorophyll a epimer (ie. chl a') measured using HPLC method
var544	Chlide a_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of chlorophyllide a measured using HPLC method
var545	DV chl a_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of divinyl chlorophyll a measured using HPLC method
var546	Chl a-DV chla_HPLC_TP_CONC_BOTTLE	ng/liter	concentration of chlorophyll a + divinyl chlorophyll a measured using HPLC method
var547	Chl a_HPLC_TP_CONC_FISH	ng/liter	concentration of Chlorophyll a measured using HPLC method
var548	Chl b_HPLC_TP_CONC_FISH	ng/liter	concentration of Chlorophyll b measured using HPLC method
var549	Chl c3_HPLC_TP_CONC_FISH	ng/liter	concentration of Chlorophyll c3 measured using HPLC method
var550	DV chl a_HPLC_TP_CONC_FISH	ng/liter	concentration of divinyl chlorophyll a measured using HPLC method
var551	CHLA_FLUOR_TP_CONC_BOTTLE	ng/liter	Concentration of Chlorophyll a via fluorometric method without size fractionation of particles
var552	PHAEO_FLUOR_TP_CONC_BOTTLE	ng/liter	Concentration of phaeopigments via fluorometric method without size fractionation of particles
var553	PEP_VAAEAVLSMTK_NiSOD_ProSyn_TP_CONC_PUMP	fmol/liter	Nickel-containing superoxide dismutase [Synechococcus WH8102 and Prochlorococcus]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var554	PEP_SPYNQSLVANQIVNK_IdiA_Pro_TP_CONC_PUMP	fmol/liter	Iron ABC transporter, substrate binding protein (IdiA) [Prochlorococcus marinus MIT 9515]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var555	PEP_LHNFISSAESPK_Fld_Pro_TP_CONC_PUMP	fmol/liter	Flavodoxin [Prochlorococcus marinus MIT 9515]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var556	PEP_AGADMVGYVDK_Fld_Pro_TP_CONC_PUMP	fmol/liter	Flavodoxin [Prochlorococcus marinus MIT 9515]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var557	PEP_TVGIYYATTTGK_Fld_Pro_TP_CONC_PUMP	fmol/liter	Flavodoxin [Prochlorococcus marinus MIT 9515]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var558	PEP_VNSVIDAIAEAAK_P-II-glnB-glnK_Pro_TP_CONC_PUMP	fmol/liter	Nitrogen Regulatory Protein P-II glnB glnK [Prochlorococcus]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var559	PEP_LSHQAIAEAIGSTR_NtcA_Cyano_TP_CONC_PUMP	fmol/liter	Nitrogen Regulatory Protein NtcA [Cyanobacteria]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var560	PEP_SKLEDDPANPELILTAR_PhoP_Syn_TP_CONC_PUMP	fmol/liter	Two Component Phosphate Regulator PhoP [Synechococcus WH8109] (45% Identity to Bacillus subtilis PY79 PhoP). The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var561	PEP_LIDQDGVPVVFGGWTSASR_UreaTran_Pro_TP_CONC_PUMP	fmol/liter	Urea ABC transporter, substrate binding protein [Prochlorococcus marinus MIT 9215]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var562	PEP_VVGEDYLPLGNTEVAPIISK_UreaTran_Pro_TP_CONC_PUMP	fmol/liter	Urea ABC transporter, substrate binding protein [Prochlorococcus marinus MIT 9215]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var563	PEP_IEYIVEDGASDWPTFAEK_UreaTran_ProSyn_TP_CONC_PUMP	fmol/liter	Urea ABC transporter [Prochlorococcus and Synechococcus]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var564	PEP_IPEDIAFAESR_UreC_Pro_TP_CONC_PUMP	fmol/liter	Urease Alpha subunit UreC (Prochlorococcus). The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var565	PEP_VGVAGPVGSGK_UreG_Pro_TP_CONC_PUMP	fmol/liter	Urease UreG (Prochlorococcus). The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var566	PEP_FDYDGDYGTVLNR_UDP-sulfoquin_m-taxa_TP_CONC_PUMP	fmol/liter	sulfolipid (UDP-sulfoquinovose, multiple taxa). The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var567	PEP_NEAVENDLIVDNK_UDP-sulfoquin_Pro_TP_CONC_PUMP	fmol/liter	sulfolipid (UDP-sulfoquinovose, Prochlorococcus). The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var568	PEP_EAYPDFASAK_NH4-transporter_Pro_TP_CONC_PUMP	fmol/liter	Ammonium transporter [Prochlorococcus MIT9312]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var569	PEP_FDSLINSADNVMTYK_Glut-synt_Pro_TP_CONC_PUMP	fmol/liter	Glutamine synthetase, glutamate--ammonia ligase [Prochlorococcus marinus MIT 9215]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var570	PEP_EGYFPVSPNDTAQDIR_Glut-synt_Pro_TP_CONC_PUMP	fmol/liter	Glutamine synthetase, glutamate--ammonia ligase [Prochlorococcus marinus MIT 9215]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var571	PEP_HAPSFLAFTNPTTNSYK_Glut-synt_ProSyn_TP_CONC_PUMP	fmol/liter	Glutamine synthetase, glutamate--ammonia ligase [Prochlorococcus and Synechococcus]. The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var572	PEP_VASLTGADINYLPNPR_UDP-sulfoquin_Pro_TP_CONC_PUMP	fmol/liter	sulfolipid (UDP-sulfoquinovose, Prochlorococcus). The letters correspond to abbreviations while the numbers are unique internal identifiers to differentiate sequences. Refer to Table S3 (PDF) for more information, including the sequence.
var573	CELL_VOLUME_BOTTLE	um^3	Volume of cell in cubic microns
var574	CELL_TYPE_BOTTLE		Information about type of cell, including taxon, assigned a numeric code: 1=diatom, 2=autotrophic flagellate, 3=autotrophic picoplankton, 4=ciliates, 5=autotrophic dinoflagellate.
var575	Fe_CELL_CONC_BOTTLE	amol/cell	Fe measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var576	C_CELL_CONC_BOTTLE	fmol/cell	C measured in a specific individual cell with SXRF
var577	Si_CELL_CONC_BOTTLE	amol/cell	Si measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var578	P_CELL_CONC_BOTTLE	amol/cell	P measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var579	S_CELL_CONC_BOTTLE	amol/cell	S measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var580	Mn_CELL_CONC_BOTTLE	amol/cell	Mn measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var581	Co_CELL_CONC_BOTTLE	amol/cell	Co measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var582	Ni_CELL_CONC_BOTTLE	amol/cell	Ni measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var583	Cu_CELL_CONC_BOTTLE	amol/cell	Cu measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
var584	Zn_CELL_CONC_BOTTLE	amol/cell	Zn measured in a specific individual cell with SXRF (attomoles (10^-18 moles) per cell
